ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery
2000,3000,2000,0.707432
4500,9000,4500,0.251024
2000,4000,2000,0.208864
2000,3000,2000,0.208864
2000,3000,3000,0.033664
2000,4000,2000,0.426224
2000,3000,2000,0.217296
2000,4000,2000,0.208864
2000,3000,2000,0.560925
2500,5000,2500,0.644555
2000,4000,2000,0.409360
2000,3000,2000,0.699336
15200,18000,15200,0.265822
2000,3000,3000,0.217296
2000,4000,2000,0.251152
2000,4000,2000,0.225728
2000,3000,2000,0.795906
2000,3000,2000,0.285489
2500,5000,2500,0.225728
2000,3000,2000,0.626720
3500,7000,3500,0.426352
2000,3000,2000,0.901332
17600,20000,17600,0.434784
13600,16000,13600,0.409616
3000,6000,3000,0.217296
2000,3000,2000,0.885386
2000,4000,3000,0.217296
2000,3000,2000,0.443580
2000,3000,2000,0.217296
2000,4000,2000,0.208864
2000,4000,2000,0.384512
2000,3000,2000,0.648376
2000,3000,3000,0.170880
13600,15000,13600,0.242528
2000,4000,2000,0.208864
2000,4000,3000,0.033664
3000,6000,3000,0.208864
2000,3000,3000,0.530157
2000,4000,2000,0.426288
2000,4000,2000,0.208864
2000,3000,2000,0.425792
14400,16000,14400,0.367200
11200,12000,11000,0.409552
2000,3000,2000,0.208864
2000,4000,2000,0.252328
2000,4000,2000,0.208864
2000,4000,2000,0.732142
2000,4000,2000,0.315943
2000,3000,2000,0.540930
3000,6000,3000,0.122373
2000,3000,2000,0.626720
3000,6000,3000,0.400992
2000,3000,2000,0.216800
2500,5000,2500,0.217296
2000,4000,2000,0.664194
2000,4000,2000,0.208864
12000,13000,12000,0.208864
2000,4000,2000,0.653676
2000,3000,2000,0.626720
2000,4000,2000,0.225728
2000,4000,2000,0.208864
2000,3000,2000,0.626720
2000,4000,2000,0.731380
2000,4000,2000,0.828010
2000,3000,2000,0.453409
2000,4000,2000,0.811578
2000,3000,2000,0.208864
2000,3000,2000,0.409360
2000,3000,2000,0.958599
2000,3000,2000,0.835712
2000,3000,2000,0.208864
2000,3000,2000,0.208864
2000,4000,2000,0.208864
2500,5000,2500,0.208864
12000,13000,12000,0.294995
2000,4000,2000,0.217296
2000,3000,2000,0.208864
2000,3000,4000,0.208864
2000,3000,2000,0.217296
2000,3000,2000,0.208864
2000,4000,2000,0.208864
2000,3000,2000,0.737385
11200,12000,11200,0.626976
4500,9000,4500,0.208864
3000,6000,3000,0.409424
2000,3000,2000,0.404878
2000,4000,2000,0.443088
2000,4000,2000,0.626224
2000,3000,2000,0.325279
2500,5000,2500,0.217296
2500,5000,2500,0.208864
2000,3000,2000,0.208864
4000,8000,4000,0.392064
2000,3000,2000,0.436790
2500,5000,2500,0.644623
3500,7000,3500,0.217296
2000,3000,2000,0.208864
12000,13000,10000,0.409488
2000,4000,2000,0.638700
2000,3000,2000,0.208864
2000,3000,2000,0.400928
3000,6000,3000,0.495017
2000,3000,2000,0.208864
2000,3000,2000,0.835648
2000,3000,2000,0.835648
4500,9000,4500,0.477458
2000,4000,2000,0.708973
2000,3000,2000,0.637478
2000,4000,4000,0.152069
2500,5000,3112,0.581307
3500,7000,3500,0.208864
2500,5000,2500,0.208864
2000,3000,2000,0.409424
2000,3000,2000,0.842568
2000,4000,2000,0.939193
2000,3000,2000,0.742495
2000,4000,2000,0.251584
2000,4000,2000,0.217296
2000,4000,3000,0.166890
2000,3000,2000,0.226224
2000,4000,2000,0.417792
2000,4000,2000,0.418990
2500,5000,2500,0.343640
2000,3000,2000,0.208864
2000,4000,2000,0.835648
2000,3000,2000,0.725954
2000,4000,2000,0.208864
4500,9000,4500,0.426288
2000,3000,2000,0.217296
2000,3000,2000,0.110838
3000,6000,3000,0.434720
2000,4000,2000,0.217296
2000,3000,2000,0.208864
2000,3000,2000,0.857462
2000,4000,2000,0.242656
2000,4000,3000,0.163270
2000,3000,2000,0.208864
2000,3000,2000,0.208864
2000,4000,2000,0.217296
2000,3000,3000,0.208864
2000,3000,2000,0.208864
3000,6000,3000,0.208864
2000,4000,2000,0.626720
2000,3000,2000,0.208864
2000,3000,2000,0.434592
2500,5000,2500,0.208864
2000,3000,2000,0.341429
2000,4000,2000,0.417792
2000,3000,2000,0.208864
2000,3000,2000,0.261991
2000,3000,2000,0.217296
2000,3000,2000,0.409424
2000,4000,2000,0.208864
4500,9000,4500,0.409360
2000,4000,4000,0.033664
2000,4000,2000,0.551998
2000,3000,2000,0.222196
2000,3000,2000,0.208864
2000,4000,2000,0.417792
2000,3000,2000,0.217296
2000,3000,2000,0.208864
2000,4000,2000,0.835584
2000,3000,2000,0.208864
16800,19000,16800,0.259520
12800,14000,11000,0.599466
2000,4000,5000,0.153308
2000,3000,2000,0.090568
2000,3000,2000,0.417792
2000,3000,2000,0.829179
3500,7000,3500,0.225728
4000,8000,4000,0.299672
2000,3000,3000,0.217296
2000,3000,2000,0.208864
12800,14000,12800,0.225728
4000,8000,4000,0.208864
3000,6000,3000,0.133768
2500,5000,2500,0.218715
2000,3000,2000,0.417792
2000,3000,2000,0.399266
2000,4000,2000,0.217296
2000,4000,3000,0.167087
3000,6000,3000,0.414070
3000,6000,3000,0.208864
2000,4000,2000,0.842952
3500,7000,3500,0.469026
2000,4000,2000,0.833435
2000,4000,3000,0.217296
2000,3000,2000,0.217296
2000,4000,2000,0.835648
2500,5000,2500,0.225728
2000,3000,3000,0.409296
2000,3000,2000,0.618416
16000,19000,16000,0.276384
12800,14000,12800,0.230276
2000,4000,5000,0.160867
2000,3000,4000,0.088648
2000,3000,2000,0.217296
2000,4000,2000,0.204437
2000,3000,2000,0.225728
2000,3000,2000,0.225728
2000,3000,2000,0.735380
12000,14000,12000,0.443216
3000,6000,3000,0.390471
2000,4000,2000,0.421400
2000,4000,2000,0.208864
2000,4000,2000,0.645687
2000,4000,2000,0.208864
3000,6000,3000,0.251088
2000,3000,2000,0.217296
2000,4000,2000,0.425620
2000,4000,2000,0.208864
2000,3000,3000,0.190200
12000,13000,12000,0.225728
2000,4000,2000,0.835648
2000,3000,2000,0.208864
2000,4000,2000,0.217296
2000,3000,2000,0.497436
3000,6000,3000,0.438771
2000,4000,2000,0.208864
2000,4000,2000,0.208864
3500,7000,4591,0.177646
3000,6000,3000,0.459952
2000,3000,2000,0.208864
2000,3000,2000,0.417792
20800,25000,20800,0.502240
16000,19000,16000,0.274448
12800,15000,12800,0.316608
2000,3000,2000,0.225792
2000,3000,2000,0.835712
2000,4000,2000,0.861967
2000,3000,2000,0.208864
2500,5000,2500,0.635088
2000,3000,2000,0.417792
12000,13000,12000,0.276384
2500,5000,0,0.635152
2000,3000,2000,0.409424
2000,4000,3000,0.225664
2500,5000,2500,0.400992
2500,5000,2500,0.426288
3000,6000,3000,0.217232
2000,3000,3000,0.217296
2000,4000,2000,0.199773
2000,4000,2000,0.206453
12800,14000,12800,0.582197
2000,4000,2000,0.208864
2000,3000,2000,0.417856
2000,3000,2000,0.792500
2000,3000,2000,0.208864
3000,6000,3000,0.259456
2000,3000,2000,0.141755
2000,3000,2000,0.208864
2000,3000,2000,0.217232
2000,4000,2000,0.810224
2000,3000,2000,0.434160
2000,3000,2000,0.417792
2000,4000,2000,0.481080
2000,3000,2000,0.417792
2000,3000,2000,0.225232
2000,4000,2000,0.417792
2500,5000,2500,0.586376
3500,7000,3500,0.417792
12800,14000,12800,0.468448
2500,5000,2500,0.208864
2000,3000,2000,0.217296
2000,3000,2000,0.208864
2000,4000,2000,0.451072
2000,3000,2000,0.217296
3000,6000,3000,0.625251
2000,3000,2000,0.217296
2000,3000,2000,0.216800
2000,3000,2000,0.208864
2000,3000,2000,0.643584
4500,9000,4500,0.356912
3000,6000,3000,0.434656
2500,5000,2500,0.208864
2000,3000,2000,0.774026
2000,3000,2000,0.945476
3500,7000,3500,0.312827
2000,3000,3000,0.105096
2000,3000,2000,0.208864
2500,5000,2500,0.568655
2000,3000,4000,0.165825
2000,4000,2000,0.648941
2000,4000,2000,0.132914
2000,3000,2000,0.426288
2000,3000,2000,0.392496
2000,3000,3000,0.628828
2000,4000,3000,0.033664
2000,3000,2000,0.849077
2000,3000,2000,0.304302
2500,5000,2500,0.786000
3000,6000,3000,0.225728
2000,3000,2000,0.926896
2000,4000,2000,0.634656
2000,3000,2000,0.208864
2500,5000,4000,0.171594
2000,4000,2000,0.577504
2000,3000,2000,0.686933
3000,6000,3000,0.408251
2000,3000,2000,0.208864
2000,4000,2000,0.208864
15200,17000,15200,0.324976
4500,9000,4500,0.198551
2000,3000,2000,0.225728
2000,3000,2000,0.409424
2500,5000,2500,0.217296
2000,3000,2000,0.208864
2000,4000,3000,0.766548
2000,3000,2000,0.217232
2000,3000,2000,0.376144
2000,3000,2000,0.720249
12000,13000,12000,0.476880
2000,3000,2000,0.225728
2000,3000,2000,2.121550
2000,3000,2000,0.208864
3500,7000,3500,0.628811
2000,3000,2000,0.448993
2000,3000,3000,0.217296
2000,3000,2000,0.208864
4500,9000,4500,0.626912
2000,3000,4000,0.184978
2000,3000,2000,0.208864
2500,5000,2500,0.831357
2000,3000,2000,0.208864
2000,3000,3000,0.033664
2000,4000,2000,0.217296
3000,6000,3000,0.632670
2500,5000,4000,0.217296
2500,5000,2500,0.434656
12000,13000,8000,0.477008
2000,4000,3000,7.890800
2000,4000,2000,1.044640
2000,3000,2000,0.771442
2000,4000,2000,0.225728
2000,3000,2000,0.208864
2500,5000,2500,0.553694
2000,3000,2000,0.225792
2000,4000,2000,0.426288
2000,3000,3000,0.323840
2000,3000,2000,0.208864
2000,4000,2000,0.417856
2000,4000,2000,0.208864
2500,5000,2500,0.401637
2000,4000,2000,0.733094
2000,4000,3000,0.266574
3000,6000,3000,0.205551
2000,3000,4000,0.133983
2000,3000,2000,0.225856
2000,3000,3000,0.217296
2000,3000,2000,0.217296
2000,4000,2000,0.208864
2000,4000,3000,0.225664
2000,4000,3000,0.121397
2000,3000,3000,0.217296
2000,3000,0,0.426288
2000,3000,2000,0.208864
2000,4000,4000,0.202116
2000,3000,2000,0.626720
12000,13000,12000,0.322048
2000,3000,4000,0.011767
2500,5000,3112,0.401956
2000,4000,2000,0.773755
2000,3000,2000,0.160831
2000,3000,3000,0.308879
2000,3000,4000,0.217296
2000,3000,2000,0.524878
2000,3000,3000,0.217296
2000,3000,2000,0.635152
2000,4000,2000,0.208864
2000,3000,2000,0.741473
2500,5000,2500,0.208864
13600,15000,13600,0.434656
2000,4000,2000,0.208864
2500,5000,2500,0.417792
2500,5000,2500,0.208864
2000,3000,2000,0.217296
2000,3000,2000,0.208864
2000,3000,2000,0.400928
2000,3000,2000,0.208864
2000,4000,2000,0.934198
2000,4000,2000,0.208864
2000,4000,2000,0.626720
2000,4000,2000,0.217296
2000,3000,4000,0.217296
3000,6000,3000,0.276448
2500,5000,2500,0.217232
2000,3000,2000,0.634656
2500,5000,2500,0.779525
2000,3000,2000,0.216800
2000,4000,2000,0.740950
2000,3000,2000,0.217296
2000,4000,2000,0.208864
4000,8000,4000,0.217296
2500,5000,2500,0.191607
3500,7000,3500,0.417296
2500,5000,2500,0.353303
2000,3000,2000,0.851727
2000,4000,2000,0.217296
2000,4000,3000,0.033664
2000,3000,2000,0.208864
2000,3000,3000,0.033664
2000,3000,2000,0.763256
2000,3000,2000,0.216800
2000,3000,2000,0.515961
2000,3000,2000,0.208864
2000,3000,2000,0.216800
2000,4000,2000,0.636444
2500,5000,2500,0.358254
2000,3000,2000,0.639306
2000,3000,2000,0.910400
2500,5000,2500,0.251152
2000,4000,2000,0.208864
2000,3000,2000,0.409360
2500,5000,2500,0.425728
2000,3000,2000,0.208864
2000,3000,2000,0.614004
2000,3000,2000,0.208864
2000,4000,2000,0.208864
4000,8000,4000,0.365344
2000,3000,2000,0.695696
2000,3000,2000,0.208864
2000,3000,2000,0.516302
2000,4000,3000,0.217296
2500,5000,3112,0.225728
2000,3000,2000,0.217232
2000,3000,2000,0.208864
15200,17000,15200,0.341840
2000,4000,2000,0.208864
2500,5000,2500,0.408864
2000,4000,2000,0.208864
2500,5000,2500,0.781392
2000,3000,3000,0.033664
2000,3000,2000,0.234886
2000,4000,2000,0.208864
2000,3000,2000,0.217296
4500,9000,4500,0.720178
2000,4000,2000,0.208864
2000,4000,2000,0.208864
2000,3000,2000,0.208864
2000,3000,2000,0.265069
3000,6000,3000,0.208864
2000,3000,2000,0.425664
2000,4000,2000,0.635152
2000,3000,2000,0.731433
2000,3000,3000,0.217296
2000,3000,2000,0.208864
4500,9000,4500,0.400992
2500,5000,2500,0.217296
2000,4000,2000,0.217296
2000,3000,2000,0.208864
4000,8000,4000,0.400992
2000,4000,2000,0.409424
2000,4000,2000,0.417792
2000,3000,2000,0.217296
2000,3000,2000,0.208864
3500,7000,3500,0.414200
23200,27000,18000,0.487312
18400,22000,18400,0.350141
2500,5000,2500,0.259520
2000,3000,2000,0.208864
2000,4000,3000,0.352153
2500,5000,3000,0.217296
2000,4000,2000,0.208864
