ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.703026,,,,
2500,5000,2500,0.23416,,,,
2000,3000,2000,0.766546,,,,
2500,5000,2500,0.217232,,,,
11200,12000,11200,0.59312,,,,
4500,9000,4500,0.626912,,,,
3000,6000,3000,0.40936,,,,
2000,3000,3000,0.417439,,,,
3000,6000,3000,0.225728,,,,
2000,4000,2000,0.749099,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.216864,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.426288,,,,
2000,3000,3000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.165447,,,,
2000,4000,5000,0.154145,,,,
4000,8000,4000,0.23416,,,,
2000,4000,2000,0.217296,,,,
2500,5000,2500,0.476245,,,,
2000,4000,2000,0.574446,,,,
2000,4000,2000,0.217296,,,,
16800,19000,16800,0.401056,,,,
12800,14000,10000,0.375632,,,,
3000,6000,3000,0.217296,,,,
2500,5000,2500,0.62672,,,,
3000,6000,3000,0.538894,,,,
3000,6000,3000,0.208864,,,,
3000,6000,3000,0.208864,,,,
2000,4000,2000,0.417856,,,,
2500,5000,2500,0.2168,,,,
13600,15000,13600,0.350336,,,,
3500,7000,3500,6.16759,,,,
3500,7000,3500,0.392496,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.2168,,,,
2000,4000,2000,0.409424,,,,
2000,3000,2000,0.339059,,,,
3000,6000,3000,0.417792,,,,
2500,5000,2500,0.208864,,,,
2000,3000,3000,0.225664,,,,
3000,6000,3000,0.25952,,,,
2000,4000,2000,0.40209,,,,
2000,4000,2000,0.417792,,,,
2500,5000,2500,0.426224,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.217232,,,,
2000,4000,2000,0.369475,,,,
2000,3000,2000,0.225664,,,,
13600,15000,13600,0.225728,,,,
2000,4000,2000,0.706748,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.643088,,,,
2000,4000,2000,0.208864,,,,
2000,4000,3000,0.182344,,,,
2000,3000,2000,0.63824,,,,
2000,3000,4000,0.16185,,,,
2000,3000,2000,0.216864,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.643648,,,,
2000,4000,2000,0.360307,,,,
2000,3000,2000,0.208864,,,,
12800,13000,12800,0.451584,,,,
2000,3000,2000,0.208864,,,,
2000,4000,3000,0.597367,,,,
2000,3000,2000,0.2168,,,,
3000,6000,3000,0.392496,,,,
2000,3000,2000,0.832671,,,,
3000,6000,3000,0.267952,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.2168,,,,
2000,4000,2000,0.409424,,,,
4500,9000,4500,0.400992,,,,
2000,4000,2000,0.208864,,,,
2000,3000,3000,0.044787,,,,
2000,3000,2000,0.226288,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,5000,0.12712,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.652448,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
3500,7000,3500,0.756735,,,,
4500,9000,4500,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.221452,,,,
2000,3000,2000,0.657881,,,,
2500,5000,2500,0.225728,,,,
2500,5000,3112,0.302492,,,,
2000,3000,3000,0.426787,,,,
2500,5000,2500,0.208864,,,,
4000,8000,4000,0.426288,,,,
2000,4000,2000,0.208864,,,,
2000,3000,4000,0.002093,,,,
2000,3000,2000,0.338798,,,,
2000,4000,2000,0.345483,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.208864,,,,
2000,3000,3000,0.200368,,,,
2000,4000,2000,0.609296,,,,
12800,14000,12800,0.754382,,,,
3500,7000,3500,0.398342,,,,
2000,3000,2000,0.225728,,,,
3500,7000,3500,0.208864,,,,
2500,5000,2500,0.145601,,,,
2500,5000,2500,0.766974,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.434592,,,,
2000,4000,2000,0.272391,,,,
3000,6000,3000,0.417792,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.898342,,,,
2500,5000,2500,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.688066,,,,
2000,3000,2000,0.844016,,,,
2000,3000,3000,0.895739,,,,
4000,8000,4000,0.365344,,,,
2000,4000,2000,0.669826,,,,
2000,4000,3000,0.186746,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.234096,,,,
2000,3000,2000,0.267775,,,,
12800,14000,12800,0.251088,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.801682,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.424119,,,,
2000,4000,2000,0.208864,,,,
2500,5000,6000,0.126679,,,,
2000,3000,2000,0.417792,,,,
12000,13000,12000,0.468384,,,,
4500,9000,4500,0.40936,,,,
2000,3000,2000,0.916194,,,,
2000,3000,2000,0.72666,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.24155,,,,
2500,5000,4000,0.050592,,,,
2000,3000,3000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.400992,,,,
2000,3000,2000,0.707432,,,,
4500,9000,4500,0.251024,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,3000,0.033664,,,,
2000,4000,2000,0.426224,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.560925,,,,
2500,5000,2500,0.644555,,,,
2000,4000,2000,0.40936,,,,
2000,3000,2000,0.699336,,,,
15200,18000,15200,0.265822,,,,
2000,3000,3000,0.217296,,,,
2000,4000,2000,0.251152,,,,
2000,4000,2000,0.225728,,,,
2000,3000,2000,0.795906,,,,
2000,3000,2000,0.285489,,,,
2500,5000,2500,0.225728,,,,
2000,3000,2000,0.62672,,,,
3500,7000,3500,0.426352,,,,
2000,3000,2000,0.901332,,,,
17600,20000,17600,0.434784,,,,
13600,16000,13600,0.409616,,,,
3000,6000,3000,0.217296,,,,
2000,3000,2000,0.885386,,,,
2000,4000,3000,0.217296,,,,
2000,3000,2000,0.44358,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.384512,,,,
2000,3000,2000,0.648376,,,,
2000,3000,3000,0.17088,,,,
13600,15000,13600,0.242528,,,,
2000,4000,2000,0.208864,,,,
2000,4000,3000,0.033664,,,,
3000,6000,3000,0.208864,,,,
2000,3000,3000,0.530157,,,,
2000,4000,2000,0.426288,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.425792,,,,
14400,16000,14400,0.3672,,,,
11200,12000,11000,0.409552,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.252328,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.732142,,,,
2000,4000,2000,0.315943,,,,
2000,3000,2000,0.54093,,,,
3000,6000,3000,0.122373,,,,
2000,3000,2000,0.62672,,,,
3000,6000,3000,0.400992,,,,
2000,3000,2000,0.2168,,,,
2500,5000,2500,0.217296,,,,
2000,4000,2000,0.664194,,,,
2000,4000,2000,0.208864,,,,
12000,13000,12000,0.208864,,,,
2000,4000,2000,0.653676,,,,
2000,3000,2000,0.62672,,,,
2000,4000,2000,0.225728,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.62672,,,,
2000,4000,2000,0.73138,,,,
2000,4000,2000,0.82801,,,,
2000,3000,2000,0.453409,,,,
2000,4000,2000,0.811578,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.40936,,,,
2000,3000,2000,0.958599,,,,
2000,3000,2000,0.835712,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.208864,,,,
12000,13000,12000,0.294995,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,4000,0.208864,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.737385,,,,
11200,12000,11200,0.626976,,,,
4500,9000,4500,0.208864,,,,
3000,6000,3000,0.409424,,,,
2000,3000,2000,0.404878,,,,
2000,4000,2000,0.443088,,,,
2000,4000,2000,0.626224,,,,
2000,3000,2000,0.325279,,,,
2500,5000,2500,0.217296,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.208864,,,,
4000,8000,4000,0.392064,,,,
2000,3000,2000,0.43679,,,,
2500,5000,2500,0.644623,,,,
3500,7000,3500,0.217296,,,,
2000,3000,2000,0.208864,,,,
12000,13000,10000,0.409488,,,,
2000,4000,2000,0.6387,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.400928,,,,
3000,6000,3000,0.495017,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.835648,,,,
2000,3000,2000,0.835648,,,,
4500,9000,4500,0.477458,,,,
2000,4000,2000,0.708973,,,,
2000,3000,2000,0.637478,,,,
2000,4000,4000,0.152069,,,,
2500,5000,3112,0.581307,,,,
3500,7000,3500,0.208864,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.409424,,,,
2000,3000,2000,0.842568,,,,
2000,4000,2000,0.939193,,,,
2000,3000,2000,0.742495,,,,
2000,4000,2000,0.251584,,,,
2000,4000,2000,0.217296,,,,
2000,4000,3000,0.16689,,,,
2000,3000,2000,0.226224,,,,
2000,4000,2000,0.417792,,,,
2000,4000,2000,0.41899,,,,
2500,5000,2500,0.34364,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.835648,,,,
2000,3000,2000,0.725954,,,,
2000,4000,2000,0.208864,,,,
4500,9000,4500,0.426288,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.110838,,,,
3000,6000,3000,0.43472,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.857462,,,,
2000,4000,2000,0.242656,,,,
2000,4000,3000,0.16327,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.217296,,,,
2000,3000,3000,0.208864,,,,
2000,3000,2000,0.208864,,,,
3000,6000,3000,0.208864,,,,
2000,4000,2000,0.62672,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.434592,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.341429,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.261991,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.409424,,,,
2000,4000,2000,0.208864,,,,
4500,9000,4500,0.40936,,,,
2000,4000,4000,0.033664,,,,
2000,4000,2000,0.551998,,,,
2000,3000,2000,0.222196,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.835584,,,,
2000,3000,2000,0.208864,,,,
16800,19000,16800,0.25952,,,,
12800,14000,11000,0.599466,,,,
2000,4000,5000,0.153308,,,,
2000,3000,2000,0.090568,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.829179,,,,
3500,7000,3500,0.225728,,,,
4000,8000,4000,0.299672,,,,
2000,3000,3000,0.217296,,,,
2000,3000,2000,0.208864,,,,
12800,14000,12800,0.225728,,,,
4000,8000,4000,0.208864,,,,
3000,6000,3000,0.133768,,,,
2500,5000,2500,0.218715,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.399266,,,,
2000,4000,2000,0.217296,,,,
2000,4000,3000,0.167087,,,,
3000,6000,3000,0.41407,,,,
3000,6000,3000,0.208864,,,,
2000,4000,2000,0.842952,,,,
3500,7000,3500,0.469026,,,,
2000,4000,2000,0.833435,,,,
2000,4000,3000,0.217296,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.835648,,,,
2500,5000,2500,0.225728,,,,
2000,3000,3000,0.409296,,,,
2000,3000,2000,0.618416,,,,
16000,19000,16000,0.276384,,,,
12800,14000,12800,0.230276,,,,
2000,4000,5000,0.160867,,,,
2000,3000,4000,0.088648,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.204437,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.73538,,,,
12000,14000,12000,0.443216,,,,
3000,6000,3000,0.390471,,,,
2000,4000,2000,0.4214,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.645687,,,,
2000,4000,2000,0.208864,,,,
3000,6000,3000,0.251088,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.42562,,,,
2000,4000,2000,0.208864,,,,
2000,3000,3000,0.1902,,,,
12000,13000,12000,0.225728,,,,
2000,4000,2000,0.835648,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.497436,,,,
3000,6000,3000,0.438771,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
3500,7000,4591,0.177646,,,,
3000,6000,3000,0.459952,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.417792,,,,
20800,25000,20800,0.50224,,,,
16000,19000,16000,0.274448,,,,
12800,15000,12800,0.316608,,,,
2000,3000,2000,0.225792,,,,
2000,3000,2000,0.835712,,,,
2000,4000,2000,0.861967,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.635088,,,,
2000,3000,2000,0.417792,,,,
12000,13000,12000,0.276384,,,,
2500,5000,0,0.635152,,,,
2000,3000,2000,0.409424,,,,
2000,4000,3000,0.225664,,,,
2500,5000,2500,0.400992,,,,
2500,5000,2500,0.426288,,,,
3000,6000,3000,0.217232,,,,
2000,3000,3000,0.217296,,,,
2000,4000,2000,0.199773,,,,
2000,4000,2000,0.206453,,,,
12800,14000,12800,0.582197,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.417856,,,,
2000,3000,2000,0.7925,,,,
2000,3000,2000,0.208864,,,,
3000,6000,3000,0.259456,,,,
2000,3000,2000,0.141755,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.217232,,,,
2000,4000,2000,0.810224,,,,
2000,3000,2000,0.43416,,,,
2000,3000,2000,0.417792,,,,
2000,4000,2000,0.48108,,,,
2000,3000,2000,0.417792,,,,
2000,3000,2000,0.225232,,,,
2000,4000,2000,0.417792,,,,
2500,5000,2500,0.586376,,,,
3500,7000,3500,0.417792,,,,
12800,14000,12800,0.468448,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.451072,,,,
2000,3000,2000,0.217296,,,,
3000,6000,3000,0.625251,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.643584,,,,
4500,9000,4500,0.356912,,,,
3000,6000,3000,0.434656,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.774026,,,,
2000,3000,2000,0.945476,,,,
3500,7000,3500,0.312827,,,,
2000,3000,3000,0.105096,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.568655,,,,
2000,3000,4000,0.165825,,,,
2000,4000,2000,0.648941,,,,
2000,4000,2000,0.132914,,,,
2000,3000,2000,0.426288,,,,
2000,3000,2000,0.392496,,,,
2000,3000,3000,0.628828,,,,
2000,4000,3000,0.033664,,,,
2000,3000,2000,0.849077,,,,
2000,3000,2000,0.304302,,,,
2500,5000,2500,0.786,,,,
3000,6000,3000,0.225728,,,,
2000,3000,2000,0.926896,,,,
2000,4000,2000,0.634656,,,,
2000,3000,2000,0.208864,,,,
2500,5000,4000,0.171594,,,,
2000,4000,2000,0.577504,,,,
2000,3000,2000,0.686933,,,,
3000,6000,3000,0.408251,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
15200,17000,15200,0.324976,,,,
4500,9000,4500,0.198551,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.409424,,,,
2500,5000,2500,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,3000,0.766548,,,,
2000,3000,2000,0.217232,,,,
2000,3000,2000,0.376144,,,,
2000,3000,2000,0.720249,,,,
12000,13000,12000,0.47688,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,2.12155,,,,
2000,3000,2000,0.208864,,,,
3500,7000,3500,0.628811,,,,
2000,3000,2000,0.448993,,,,
2000,3000,3000,0.217296,,,,
2000,3000,2000,0.208864,,,,
4500,9000,4500,0.626912,,,,
2000,3000,4000,0.184978,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.831357,,,,
2000,3000,2000,0.208864,,,,
2000,3000,3000,0.033664,,,,
2000,4000,2000,0.217296,,,,
3000,6000,3000,0.63267,,,,
2500,5000,4000,0.217296,,,,
2500,5000,2500,0.434656,,,,
12000,13000,8000,0.477008,,,,
2000,4000,3000,7.8908,,,,
2000,4000,2000,1.04464,,,,
2000,3000,2000,0.771442,,,,
2000,4000,2000,0.225728,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.553694,,,,
2000,3000,2000,0.225792,,,,
2000,4000,2000,0.426288,,,,
2000,3000,3000,0.32384,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.417856,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.401637,,,,
2000,4000,2000,0.733094,,,,
2000,4000,3000,0.266574,,,,
3000,6000,3000,0.205551,,,,
2000,3000,4000,0.133983,,,,
2000,3000,2000,0.225856,,,,
2000,3000,3000,0.217296,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,4000,3000,0.225664,,,,
2000,4000,3000,0.121397,,,,
2000,3000,3000,0.217296,,,,
2000,3000,0,0.426288,,,,
2000,3000,2000,0.208864,,,,
2000,4000,4000,0.202116,,,,
2000,3000,2000,0.62672,,,,
12000,13000,12000,0.322048,,,,
2000,3000,4000,0.011767,,,,
2500,5000,3112,0.401956,,,,
2000,4000,2000,0.773755,,,,
2000,3000,2000,0.160831,,,,
2000,3000,3000,0.308879,,,,
2000,3000,4000,0.217296,,,,
2000,3000,2000,0.524878,,,,
2000,3000,3000,0.217296,,,,
2000,3000,2000,0.635152,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.741473,,,,
2500,5000,2500,0.208864,,,,
13600,15000,13600,0.434656,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.417792,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.400928,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.934198,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.62672,,,,
2000,4000,2000,0.217296,,,,
2000,3000,4000,0.217296,,,,
3000,6000,3000,0.276448,,,,
2500,5000,2500,0.217232,,,,
2000,3000,2000,0.634656,,,,
2500,5000,2500,0.779525,,,,
2000,3000,2000,0.2168,,,,
2000,4000,2000,0.74095,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
4000,8000,4000,0.217296,,,,
2500,5000,2500,0.191607,,,,
3500,7000,3500,0.417296,,,,
2500,5000,2500,0.353303,,,,
