ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,3000,2000,0.2168,,,,
4000,8000,4000,0.426288,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.002093,,,,
2000,3000,2000,0.338798,,,,
2000,4000,2000,0.345483,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.200368,,,,
2000,4000,2000,0.609296,,,,
12800,14000,12800,0.754382,,,,
3500,7000,3500,0.398342,,,,
2000,3000,2000,0.225728,,,,
3500,7000,3500,0.208864,,,,
2500,5000,2500,0.145601,,,,
2500,5000,2500,0.766974,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.434592,,,,
2000,4000,2000,0.272391,,,,
3000,6000,3000,0.417792,,,,
2000,3000,2000,0.225728,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.898342,,,,
2500,5000,2500,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.688066,,,,
2000,3000,2000,0.844016,,,,
2000,3000,2000,0.895739,,,,
4000,8000,4000,0.365344,,,,
2000,4000,2000,0.669826,,,,
2000,4000,2000,0.186746,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.234096,,,,
2000,3000,2000,0.267775,,,,
12800,14000,12800,0.251088,,,,
2000,4000,2000,0.191554,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.771496,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.423927,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.124552,,,,
2000,3000,2000,0.417792,,,,
12000,13000,12000,0.468384,,,,
4500,9000,4500,0.40936,,,,
2000,3000,2000,0.916194,,,,
2000,3000,2000,0.72666,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.24155,,,,
2500,5000,2500,0.050592,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.400992,,,,
2000,3000,2000,0.706542,,,,
4500,9000,4500,0.267888,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.033664,,,,
2000,4000,2000,0.426224,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.560227,,,,
2500,5000,2500,0.643938,,,,
2000,4000,2000,0.40936,,,,
2000,3000,2000,0.698806,,,,
15200,18000,15200,0.265822,,,,
2000,4000,2000,0.145263,,,,
3000,6000,3000,0.242592,,,,
2000,4000,2000,0.225728,,,,
2000,3000,2000,0.797921,,,,
2000,3000,2000,0.285776,,,,
2500,5000,2500,0.225728,,,,
2000,3000,2000,0.62672,,,,
3500,7000,3500,0.426352,,,,
2000,3000,2000,0.900492,,,,
17600,20000,17600,0.459952,,,,
13600,15000,13600,0.215493,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.882593,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.444827,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.384533,,,,
2000,3000,2000,0.648565,,,,
2000,3000,2000,0.171079,,,,
13600,15000,13600,0.242528,,,,
2500,5000,2500,0.217296,,,,
2000,3000,2000,0.409424,,,,
3000,6000,3000,0.208864,,,,
2000,3000,2000,0.529529,,,,
2000,4000,2000,0.426288,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.652793,,,,
2000,4000,2000,0.361707,,,,
2000,3000,2000,0.274164,,,,
2000,4000,2000,0.217296,,,,
14400,16000,14400,0.3672,,,,
11200,12000,11200,0.409552,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.252328,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.732142,,,,
2000,4000,2000,0.315943,,,,
2000,3000,2000,0.54093,,,,
3000,6000,3000,0.122373,,,,
2000,3000,2000,0.62672,,,,
3000,6000,3000,0.400992,,,,
2000,3000,2000,0.2168,,,,
2500,5000,2500,0.217296,,,,
2000,4000,2000,0.664194,,,,
2000,4000,2000,0.208864,,,,
12000,13000,12000,0.208864,,,,
2000,4000,2000,0.653676,,,,
2000,3000,2000,0.62672,,,,
2000,4000,2000,0.225728,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.62672,,,,
2000,4000,2000,0.73138,,,,
2000,4000,2000,0.82801,,,,
2000,3000,2000,0.453409,,,,
2000,4000,2000,0.811578,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.40936,,,,
2000,3000,2000,0.958599,,,,
2000,3000,2000,0.835712,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.208864,,,,
12000,13000,12000,0.294995,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.737385,,,,
11200,12000,11200,0.626976,,,,
4500,9000,4500,0.208864,,,,
3000,6000,3000,0.409424,,,,
2000,3000,2000,0.404878,,,,
2000,4000,2000,0.443088,,,,
2000,4000,2000,0.626224,,,,
2000,3000,2000,0.325279,,,,
2500,5000,2500,0.217296,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.208864,,,,
